alertID,locationID,message,datePosted
1,51,Water supply interruption scheduled for tomorrow between 9 AM and 4 PM.,2024-05-04 01:22:10
2,42,Flash flood warning in effect. Avoid low-lying areas and seek higher ground.,2024-09-28 00:58:59
3,39,Transportation strike announced. Expect disruptions in public transit services.,2024-08-07 18:26:35
4,35,Lightning warning issued. Stay indoors and avoid open fields or elevated places.,2024-07-19 01:25:56
5,21,Reminder: Curfew in place from 11 PM to 5 AM for safety reasons.,2024-06-27 04:47:44
6,6,Cultural event postponed due to organizer issues. New date to be announced soon.,2024-03-29 18:30:26
7,17,Sudden drop in temperature expected tonight. Dress warmly and take precautions for icy roads.,2023-12-31 06:05:33
8,9,Typhoon warning: Stock up on essentials and stay updated on weather conditions.,2024-03-06 07:23:30
9,9,Sudden drop in temperature expected tonight. Dress warmly and take precautions for icy roads.,2024-01-19 03:21:08
10,20,Sudden drop in temperature expected tonight. Dress warmly and take precautions for icy roads.,2024-01-18 06:28:30
11,56,Extreme heat alert issued. Cooling centers available at designated locations.,2024-03-25 07:58:39
12,33,Sudden drop in temperature expected tonight. Dress warmly and take precautions for icy roads.,2024-11-01 18:18:34
13,3,Concert in the park cancelled due to unexpected weather conditions.,2023-12-14 18:14:30
14,23,Concert in the park cancelled due to unexpected weather conditions.,2024-07-18 06:05:14
15,39,Transportation strike announced. Expect disruptions in public transit services.,2024-10-04 14:29:30
16,39,Security incident reported in the vicinity. Avoid the area and follow local guidance.,2024-07-24 12:38:42
17,52,Classes moved online due to power outage. Check your email for further instructions.,2024-06-01 07:23:51
18,40,Online scam alert: Be wary of unsolicited emails asking for personal information.,2024-07-25 06:43:10
19,31,Protest march expected downtown. Plan your travel accordingly and avoid affected roads.,2024-08-02 11:59:43
20,40,Fire drill scheduled for 3 PM today. Proceed to the nearest exit when alarm sounds.,2024-09-24 21:23:03
21,41,Air quality alert: High levels of pollution expected. Limit outdoor activities.,2024-08-01 09:47:45
22,50,Water supply interruption scheduled for tomorrow between 9 AM and 4 PM.,2024-09-15 13:43:16
23,41,Concert in the park cancelled due to unexpected weather conditions.,2024-07-09 07:07:52
24,37,Sudden drop in temperature expected tonight. Dress warmly and take precautions for icy roads.,2024-05-08 04:09:08
25,27,Sudden drop in temperature expected tonight. Dress warmly and take precautions for icy roads.,2024-06-09 19:03:36
26,60,Reminder: Curfew in place from 11 PM to 5 AM for safety reasons.,2024-11-23 18:28:09
27,18,Classes moved online due to power outage. Check your email for further instructions.,2024-03-12 20:44:01
28,37,Heatwave expected over the next few days. Stay hydrated and avoid excessive outdoor activities.,2024-07-09 07:51:56
29,20,Transportation strike announced. Expect disruptions in public transit services.,2024-03-24 16:08:11
30,43,Reminder: Curfew in place from 11 PM to 5 AM for safety reasons.,2024-08-11 14:14:48
31,29,Typhoon warning: Stock up on essentials and stay updated on weather conditions.,2024-05-19 09:48:39
32,58,Reminder: Curfew in place from 11 PM to 5 AM for safety reasons.,2024-11-11 14:42:52
33,46,Extreme heat alert issued. Cooling centers available at designated locations.,2024-08-29 21:49:25
34,10,Classes moved online due to power outage. Check your email for further instructions.,2024-01-23 01:25:15
35,25,Typhoon warning: Stock up on essentials and stay updated on weather conditions.,2024-04-26 03:23:21
36,12,Typhoon warning: Stock up on essentials and stay updated on weather conditions.,2024-02-02 21:15:32
37,35,Reminder: Curfew in place from 11 PM to 5 AM for safety reasons.,2024-06-23 08:00:32
38,56,Protest march expected downtown. Plan your travel accordingly and avoid affected roads.,2024-11-02 23:09:46
39,37,Protest march expected downtown. Plan your travel accordingly and avoid affected roads.,2024-07-04 10:40:28
40,40,Classes moved online due to power outage. Check your email for further instructions.,2024-07-24 08:58:46
41,40,Fire drill scheduled for 3 PM today. Proceed to the nearest exit when alarm sounds.,2024-07-22 18:33:22
42,23,Fire drill scheduled for 3 PM today. Proceed to the nearest exit when alarm sounds.,2024-04-12 10:52:50
43,29,Typhoon warning: Stock up on essentials and stay updated on weather conditions.,2024-05-17 16:01:08
44,13,Typhoon warning: Stock up on essentials and stay updated on weather conditions.,2024-02-08 17:23:27
45,18,Security incident reported in the vicinity. Avoid the area and follow local guidance.,2024-02-14 04:29:18
46,20,Fire drill scheduled for 3 PM today. Proceed to the nearest exit when alarm sounds.,2024-03-15 12:07:13
47,22,All classes cancelled due to heavy snowfall. Stay safe and warm.,2024-03-26 20:17:59
48,31,Protest march expected downtown. Plan your travel accordingly and avoid affected roads.,2024-04-04 23:16:22
49,27,Reminder: Curfew in place from 11 PM to 5 AM for safety reasons.,2024-05-28 20:34:55
50,24,Water supply interruption scheduled for tomorrow between 9 AM and 4 PM.,2024-05-07 17:35:27
51,24,Online scam alert: Be wary of unsolicited emails asking for personal information.,2024-04-09 14:18:26
52,49,Lightning warning issued. Stay indoors and avoid open fields or elevated places.,2024-04-20 14:51:35
53,28,Protest march expected downtown. Plan your travel accordingly and avoid affected roads.,2024-04-16 21:27:17
54,31,Extreme heat alert issued. Cooling centers available at designated locations.,2024-09-19 17:28:23
55,32,Protest march expected downtown. Plan your travel accordingly and avoid affected roads.,2024-05-11 03:58:23
56,47,Fire drill scheduled for 3 PM today. Proceed to the nearest exit when alarm sounds.,2024-06-03 10:23:24
57,12,Online scam alert: Be wary of unsolicited emails asking for personal information.,2024-06-07 08:20:03
58,47,Security incident reported in the vicinity. Avoid the area and follow local guidance.,2024-04-09 19:22:50
59,29,Reminder: Curfew in place from 11 PM to 5 AM for safety reasons.,2024-09-03 22:52:27
60,36,Typhoon warning: Stock up on essentials and stay updated on weather conditions.,2024-09-27 16:43:38
61,11,Air quality alert: High levels of pollution expected. Limit outdoor activities.,2024-02-05 11:03:01
62,11,Extreme heat alert issued. Cooling centers available at designated locations.,2024-09-06 20:39:04
63,31,All classes cancelled due to heavy snowfall. Stay safe and warm.,2024-05-17 19:38:07
64,21,Cultural event postponed due to organizer issues. New date to be announced soon.,2024-06-30 19:53:24
65,18,Protest march expected downtown. Plan your travel accordingly and avoid affected roads.,2024-01-28 20:57:24
66,15,Fire drill scheduled for 3 PM today. Proceed to the nearest exit when alarm sounds.,2024-02-01 06:30:17
67,32,Fire drill scheduled for 3 PM today. Proceed to the nearest exit when alarm sounds.,2024-05-31 13:28:14
68,43,Air quality alert: High levels of pollution expected. Limit outdoor activities.,2024-04-03 05:43:29
69,11,Flash flood warning in effect. Avoid low-lying areas and seek higher ground.,2024-03-11 09:38:56
70,8,Extreme heat alert issued. Cooling centers available at designated locations.,2024-02-22 15:29:32
71,46,Classes moved online due to power outage. Check your email for further instructions.,2024-06-08 19:43:39
72,23,Extreme heat alert issued. Cooling centers available at designated locations.,2024-08-13 06:16:26
73,34,Security incident reported in the vicinity. Avoid the area and follow local guidance.,2024-01-12 20:11:23
74,58,Water supply interruption scheduled for tomorrow between 9 AM and 4 PM.,2024-08-31 23:20:06
75,54,Heatwave expected over the next few days. Stay hydrated and avoid excessive outdoor activities.,2024-04-13 13:49:47
76,56,Transportation strike announced. Expect disruptions in public transit services.,2024-06-18 15:22:24
77,46,Classes moved online due to power outage. Check your email for further instructions.,2024-11-12 07:55:13
78,50,Concert in the park cancelled due to unexpected weather conditions.,2024-01-21 08:55:13
79,33,All classes cancelled due to heavy snowfall. Stay safe and warm.,2024-10-19 17:09:18
80,47,Typhoon warning: Stock up on essentials and stay updated on weather conditions.,2024-10-30 09:57:35
81,11,All classes cancelled due to heavy snowfall. Stay safe and warm.,2024-08-28 20:16:22
82,54,Concert in the park cancelled due to unexpected weather conditions.,2024-09-25 21:58:09
