programID,programName,prgmDescription,locationID,programType,empID
1,Art History in Italy,Difficilem quandam temperantiam postulant in.,1,Exchange,1
2,Mediterranean Studies in Cyprus,"Civibus, si ad eorum cognitionem divina illa.",2,Volunteer,2
3,Cognitive Science in Australia,"Quapropter si ea, quae praeterierunt, acri animo et corpore voluptatibus nullo dolore nec impediente nec inpendente, quem tandem hoc statu praestabiliorem aut magis expetendum possimus dicere? Inesse enim necesse est effici, ut sapiens solum amputata circumcisaque inanitate omni et errore naturae finibus contentus sine aegritudine possit et sine metu degendae praesidia firmissima. -- Filium morte multavit.",3,Field Study,3
4,Marketing Strategies in Singapore,"Non placeat, tamquam e theatro exeamus. Quibus rebus intellegitur nec timiditatem ignaviamque vituperari nec fortitudinem patientiamque laudari suo nomine, sed illas reici, quia dolorem pariant, has optari, quia voluptatem. Iustitia restat, ut de commodis suis cogitarent?",4,Service Learning,4
5,Robotics and Future Technology in Singapore,"Graecis expressas non inviti legant. Quis enim tam inimicus paene nomini Romano est, qui Ennii Medeam.",5,Research,5
6,Design Thinking in the Netherlands,"In voluptatem, ut postea variari voluptas distinguique possit, augeri amplificarique non possit. At etiam Athenis, ut e patre audiebam facete et urbane Stoicos irridente, statua est in voluptate.",6,Service Learning,6
7,Fashion and Textile Design in India,"Meminerimus. Sed cum ea, quae dices, libenter assentiar. Probabo, inquit, modo ista sis aequitate, quam ostendis. Sed uti oratione perpetua malo quam interrogare aut interrogari. Ut placet, inquam. Tum dicere exorsus est. Primum igitur, inquit, sic agam, ut ipsi.",7,Service Learning,7
8,Digital Humanities in the Netherlands,"Maximi cadere possunt, nulla spe proposita fore levius aliquando, nulla praeterea neque praesenti nec expectata voluptate, quid eo miserius dici aut fingi potest? Quodsi vita doloribus referta maxime fugienda est, summum bonum esse vult, summumque malum dolorem, idque instituit docere sic: Omne animal, simul atque natum sit, voluptatem appetere eaque gaudere ut summo bono, dolorem aspernari.",8,Volunteer,8
9,Women’s Studies in Canada,"Ab Aristotele ante tractatos? Quid? Epicurei num desistunt de isdem, de quibus neque depravate iudicant neque corrupte, nonne.",9,Internship,9
10,Traditional Medicine in Bhutan,"Per se ipsam causam non fuisse. -- Torquem detraxit hosti. -- Et quidem se texit, ne interiret. -- At magnum periculum adiit. -- In.",10,Internship,10
11,Theatre and Performance in Greece,"Enim cupiditates a natura proficiscuntur, facile explentur sine ulla iniuria, quae autem de bene beateque vivendum. Sed existimo te, sicut nostrum.",11,Service Learning,11
12,,"Texit, ne interiret. -- At magnum periculum adiit. -- In oculis quidem exercitus. -- Quid ex eo credo quibusdam usu venire; ut abhorreant a Latinis, quod inciderint in inculta quaedam et horrida, de malis Graecis Latine scripta deterius. Quibus ego assentior, dum modo de isdem rebus ne Graecos quidem legendos putent. Res.",12,Language Learning,12
13,,"Iucunditatis vel plurimum afferat. Nam diligi et carum esse iucundum est propterea, quia tutiorem vitam et voluptatem pleniorem efficit. Itaque non ob ea solum incommoda, quae eveniunt inprobis, fugiendam inprobitatem putamus, sed multo.",13,Extracurricular Activities,13
14,Data Science in Israel,"Te, cum ad te ne Graecis quidem cedentem in philosophia audeam scribere? Quamquam a te ipso id quidem facio provocatus gratissimo mihi libro, quem.",14,Extracurricular Activities,14
15,Digital Marketing in Australia,"Quo offendimur, dolor, doloris omnis privatio recte nominata est voluptas. Ut enim, cum cibo et potione fames sitisque depulsa est, ipsa detractio molestiae consecutionem affert voluptatis, sic in omni re doloris amotio successionem efficit voluptatis. Itaque non placuit Epicuro medium esse quiddam inter dolorem et voluptatem; illud enim ipsum, quod quibusdam medium videretur, cum omni dolore.",15,Extracurricular Activities,15
16,Film Studies in France,"Certe audiam, quid sit, quod Epicurum nostrum non tu quidem oderis, ut fere faciunt, qui ab eo dissentiunt, sed certe non probes, eum quem ego arbitror unum vidisse.",16,Exchange,16
17,,"Corpus referri, nec ob eam causam non fuisse. -- Torquem detraxit hosti. -- Et.",17,Language Learning,17
18,Marine Biology in the Caribbean,Et comparandae voluptatis -- Quam autem.,18,Cultural Immersion,18
19,Language Immersion in Spain,Nec ad commodius disserendum viam. In physicis plurimum posuit. Ea scientia et verborum vis et natura orationis et.,19,Field Study,19
20,,"Ex quo vitam amarissimam necesse est in quo a populo Romano locatus sum, debeo profecto, quantumcumque possum, in eo non.",20,Service Learning,20
21,Cultural Psychology in Russia,Putat. Confirmat autem illud vel maxime.,21,Study Abroad,21
22,Dance and Movement in Sweden,"Comit multa venustate et omni sale idem Lucilius, apud quem praeclare Scaevola: Graecum te, Albuci, quam Romanum atque Sabinum, municipem Ponti.",22,Field Study,22
23,,"Dixi, constituto, ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis doloribus asperiores repellat. Hanc ego cum teneam sententiam, quid est enim contra Cyrenaicos satis acute, nihil ad iucunde vivendum reperiri posse, quod coniunctione tali sit aptius. Quibus ex omnibus iudicari potest.",23,Study Abroad,23
24,Music and Culture in Cuba,"Neque feci adhuc nec mihi tamen, ne faciam, interdictum puto. Locos quidem quosdam, si videbitur, transferam, et maxime ab iis, quos ego posse iudicare.",24,Language Learning,24
25,Culinary Arts in Thailand,"Ac suaviter meminerimus. Sed cum ea, quae hoc non minus declarant, sed videntur leviora, veniamus. Quid tibi, Torquate, quid huic Triario litterae, quid historiae cognitioque rerum, quid poetarum evolutio, quid tanta tot versuum.",25,Service Learning,25
26,Community Development in Afghanistan,"Explentur sine ulla iniuria, quae autem tanta ex improbis factis ad minuendas vitae molestias accessio potest fieri, quanta ad augendas, cum conscientia factorum, tum poena legum.",26,Research,26
27,Comparative Religion in Turkey,Redeamus; de hominibus dici non necesse est. Tribus igitur modis.,27,Exchange,27
28,,"Si essent vera, nihil afferrent, quo iucundius, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio, cumque nihil impedit, quo minus omnes mea legant. Utinam esset ille Persius, Scipio vero et Rutilius multo etiam magis, quod, cuius in mente consedit, hoc.",28,Volunteer,28
29,,"Quae essent et naturales et necessariae, alterum, quae naturales essent nec tamen id, cuius causa haec finxerat, assecutus est. Nam si omnes atomi declinabunt, nullae umquam cohaerescent, sive aliae declinabunt, aliae suo nutu recte ferentur, primum erit hoc quasi, provincias atomis dare, quae recte, quae oblique ferantur, deinde.",29,Study Abroad,29
30,Environmental Sustainability in India,"Ad legendum his esse potiora. Quid est enim aut utilior aut ad beatam aut ad naturam aut contra sit, a.",30,Volunteer,30
31,Business Analytics in Dubai,"Pater aiebat, si loqui posset. Conclusum est enim in vita tantopere quaerendum quam cum omnia in philosophia, tum id, quod quaeritur, sit.",31,Exchange,31
32,Civic Engagement in Jordan,"Voluptatem; cum autem usus progrediens familiaritatem effecerit, tum amorem efflorescere tantum, ut, etiamsi nulla sit causa peccandi. Quae enim cupiditates a natura ipsa iudicari. Ea quid percipit aut quid iudicat, quo aut.",32,Field Study,32
33,Literature and Society in the UK,Cum tractat locos ab Aristotele ante tractatos? Quid? Epicurei num.,33,Study Abroad,33
34,Sustainable Development Goals in Nairobi,"Bene beateque vivendum. Sed existimo te, sicut nostrum Triarium, minus ab eo dissentiunt, sed certe non probes, eum.",34,Volunteer,34
35,The Economics of Happiness in Norway,"Medium nec ultimum nec extremum sit, ita ferri, ut concursionibus inter se cohaerescant, ex quo intellegitur nec intemperantiam propter se ipsos penitus perdiderunt, sic robustus animus et excelsus omni est liber cura et angore, cum et mortem contemnit, qua qui affecti sunt.",35,Internship,35
36,Event Management in Ibiza,"Nec timiditatem ignaviamque vituperari nec fortitudinem patientiamque laudari suo nomine, sed illas reici, quia dolorem pariant.",36,Language Learning,36
37,Social Entrepreneurship in Kenya,"Non potest esse dubium, quin id sit summum atque extremum bonorum omnium, beateque vivere nihil aliud sit nisi cum voluptate vivatur. Quoniam autem id.",37,Research,37
38,,"Interesse enim inter argumentum conclusionemque rationis et inter mediocrem animadversionem atque admonitionem. Altera occulta quaedam et horrida, de malis Graecis Latine scripta deterius. Quibus ego assentior, dum modo de isdem rebus ne Graecos quidem legendos putent. Res vero bonas verbis electis graviter ornateque dictas quis non legat? Nisi qui se plane Graecum dici velit, ut a.",38,Exchange,38
39,,"Efficiantur ea, quae dixi, sole ipso illustriora et clariora sunt, si omnia deorsus e regione ferrentur et, ut.",39,Research,39
40,Global Education Trends in Finland,"Coniunctione tali sit aptius. Quibus ex omnibus iudicari potest non modo non repugnantibus, verum etiam approbantibus nobis. Sic.",40,Study Abroad,40
41,,"Testibus, si infantes pueri, mutae etiam bestiae paene loquuntur magistra ac duce natura nihil esse maius amicitia, nihil uberius, nihil iucundius. Nec vero quisquam stultus non horum morborum aliquo laborat, nemo igitur est difficilius satis facere, qui se Latina scripta dicunt contemnere. In quibus sequitur Democritum, non fere labitur. Quamquam utriusque cum multa non probo, tum.",41,Field Study,41
